update_time,create_time,body,pcid,type,deviceuuid,pkg_name,last_sync_time,datauuid
2023-04-09 01:44:21.087,431959ba-1ca6-4af6-81f0-06b69e6c2986.body.json,23040001,0,+OWbbAvnWG,com.sec.android.app.shealth,1681100321826,431959ba-1ca6-4af6-81f0-06b69e6c2986,
2023-04-10 00:51:39.068,c2fb2103-2ca2-4f0a-83d4-97a2c076e0c4.body.json,23040001,1,+OWbbAvnWG,com.sec.android.app.shealth,1681100325161,c2fb2103-2ca2-4f0a-83d4-97a2c076e0c4,
2023-05-05 03:26:20.574,08aa3ae1-6c15-401c-a3da-2d4266229f54.body.json,23050001,1,+OWbbAvnWG,com.sec.android.app.shealth,1683257180554,08aa3ae1-6c15-401c-a3da-2d4266229f54,
