update_time,create_time,my_value,body,type,deviceuuid,pkg_name,last_sync_time,datauuid
2022-09-18 05:53:11.256,40,d2c4aa3b-6ae5-47f7-ac7e-eac01b6dbd3e.body.json,102,+OWbbAvnWG,com.sec.android.app.shealth,1684675228718,d2c4aa3b-6ae5-47f7-ac7e-eac01b6dbd3e,
2022-09-18 05:53:11.284,49,b60ea70e-298e-4187-8da0-d3cf95c2157d.body.json,101,+OWbbAvnWG,com.sec.android.app.shealth,1684675228720,b60ea70e-298e-4187-8da0-d3cf95c2157d,
2022-09-18 05:53:11.354,1,89740c9f-51d0-4c40-9297-e339e2ac8ed9.body.json,200,+OWbbAvnWG,com.sec.android.app.shealth,1684675228722,89740c9f-51d0-4c40-9297-e339e2ac8ed9,
