duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4,0,98,2023-05-02 22:42:00.000,,,2023-05-02 22:53:16.677,2023-05-02 22:42:00.360,98,1.257,75.42,6.84,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:43:00.000,68367430-31f6-4a07-8533-2eb8c1388122,
4,0,9,2023-05-07 07:14:00.000,,,2023-05-07 07:14:59.716,2023-05-07 07:14:58.422,9,1.5853333,7.3500004,0.57,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-07 07:15:00.000,1669a645-6d96-4fff-960b-fd748bedc0cc,
4,0,90,2023-05-08 12:20:00.000,,,2023-05-08 12:35:00.546,2023-05-08 12:35:00.546,90,1.118,67.08,6.26,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:21:00.000,b5af749d-37b3-4f03-96bf-5866dd88ede5,
4,0,76,2023-05-05 16:29:00.000,,,2023-05-05 16:32:20.884,2023-05-05 16:29:41.395,76,1.1913424,57.09001,5.0699916,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-05 16:30:00.000,b54d8f0e-cb5c-4e1b-9641-a632033010db,
4,0,94,2023-05-07 17:27:00.000,,,2023-05-07 17:32:34.176,2023-05-07 17:32:34.176,94,1.1676667,70.06,6.19,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-07 17:28:00.000,cb264ebc-e0c0-410c-b44c-27552424a831,
4,0,88,2023-05-08 12:22:00.000,,,2023-05-08 12:35:00.773,2023-05-08 12:35:00.773,88,1.102,66.12,6.16,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:23:00.000,71b3e013-9846-4648-b1c6-fd0f76992e0d,
4,0,43,2023-05-05 16:31:00.000,,,2023-05-05 16:32:21.070,2023-05-05 16:32:21.070,43,1.2222222,32.6,2.7,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-05 16:32:00.000,97b1a7d2-99e1-4683-99ce-1c806b01281c,
4,0,77,2023-05-02 22:43:00.000,,,2023-05-02 22:53:16.734,2023-05-02 22:53:16.734,82,1.1944444,62.8,5.73,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:44:00.000,0933c1b8-d852-4840-b95d-5a194b5a4474,
4,0,13,2023-05-05 16:34:00.000,,,2023-05-05 16:34:48.653,2023-05-05 16:34:48.653,13,1.0555556,9.5,0.97,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-05 16:35:00.000,a4005bb1-86b9-46be-b4ff-b613bc738f23,
4,0,85,2023-05-07 17:28:00.000,,,2023-05-07 17:32:34.323,2023-05-07 17:32:34.323,85,1.1111112,62.65,5.6,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-07 17:29:00.000,4f85ddee-a3ca-4c6e-b6aa-993b2ea64872,
4,0,85,2023-05-08 12:24:00.000,,,2023-05-08 12:35:00.861,2023-05-08 12:35:00.861,85,1.0501666,63.01,5.95,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-08 12:25:00.000,72571ed6-98ed-49a5-a801-2bbe90202411,
4,0,24,2023-05-02 22:44:00.000,,,2023-05-02 22:53:16.882,2023-05-02 22:53:16.882,22,1.1666666,16.69,1.51,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-02 22:45:00.000,38b31210-df66-4c42-b794-c20ae3ef9262,
4,0,83,2023-05-07 17:29:00.000,,,2023-05-07 17:32:34.487,2023-05-07 17:32:34.487,83,1.1388888,62.63,5.76,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2023-05-07 17:30:00.000,10e16b3e-4f02-409a-b8ca-db8d71bc7357,
4,0,15,2023-05-06 20:37:00.000,,,2023-05-06 20:53:37.018,2023-05-06 20:53:37.018,15,1.3055556,11.51,0.99,UTC-0400,+OWbbAvnWG,com.sec.android.app.shealth,2023-05-06 20:38:00.000,c17ed7e1-8503-4429-aabb-112d6e49c057,
