step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
76daec01-f628-413f-950e-154a1ae159fb.binning_data.json,611899,6000,6,2022-09-26 04:06:21.462,com.sec.android.app.shealth,2022-09-25 04:04:41.885,,1.2784942,782.31,71.170006,994,+OWbbAvnWG,com.sec.android.app.shealth,0,76daec01-f628-413f-950e-154a1ae159fb.achievement.json,76daec01-f628-413f-950e-154a1ae159fb,1664064000000,
55fc06d6-585f-4d41-9826-156ba8c2ea58.binning_data.json,2121246,6000,58,2022-09-26 04:06:25.514,com.sec.android.app.shealth,2022-09-26 04:06:25.514,,1.513868,3211.287,277.8305,3818,oL6fnwM6i7,com.sec.android.app.shealth,0,55fc06d6-585f-4d41-9826-156ba8c2ea58.achievement.json,55fc06d6-585f-4d41-9826-156ba8c2ea58,1664064000000,
eeb6f541-38f3-47e3-8bcb-e5688389f37e.binning_data.json,7116604,6000,38,2022-09-25 00:50:46.942,com.sec.android.app.shealth,2022-09-24 04:21:14.713,eeb6f541-38f3-47e3-8bcb-e5688389f37e.source_info.json,1.2989949,9244.435,834.62976,12008,VfS0qUERdZ,com.sec.android.app.shealth,0,eeb6f541-38f3-47e3-8bcb-e5688389f37e.achievement.json,eeb6f541-38f3-47e3-8bcb-e5688389f37e,1663977600000,
89754a1a-1472-4d62-a4bf-67d1acb00654.binning_data.json,1833475,6000,15,2022-09-30 04:00:05.202,com.sec.android.app.shealth,2022-09-30 04:00:05.202,,1.377981,2526.494,222.96982,3066,oL6fnwM6i7,com.sec.android.app.shealth,0,89754a1a-1472-4d62-a4bf-67d1acb00654.achievement.json,89754a1a-1472-4d62-a4bf-67d1acb00654,1664409600000,
0070eff5-ef2b-4e9a-8d99-eceb0c68e831.binning_data.json,1995490,6000,0,2022-09-28 04:18:43.034,com.sec.android.app.shealth,2022-09-28 04:18:43.034,,1.2109051,2416.35,230.38,3192,+OWbbAvnWG,com.sec.android.app.shealth,0,0070eff5-ef2b-4e9a-8d99-eceb0c68e831.achievement.json,0070eff5-ef2b-4e9a-8d99-eceb0c68e831,1664236800000,
ed46f696-064b-487a-944d-e754e1d6de60.binning_data.json,2960091,6000,17,2022-09-27 04:32:27.781,com.sec.android.app.shealth,2022-09-27 04:32:27.781,,1.393071,4123.618,366.24203,5005,oL6fnwM6i7,com.sec.android.app.shealth,0,ed46f696-064b-487a-944d-e754e1d6de60.achievement.json,ed46f696-064b-487a-944d-e754e1d6de60,1664150400000,
0d08748f-732e-46ff-b17d-5742ef4ddc0c.binning_data.json,5162655,6000,0,2022-09-25 04:04:42.052,com.sec.android.app.shealth,2022-09-25 04:04:42.052,,1.1840359,6112.77,611.68005,8205,+OWbbAvnWG,com.sec.android.app.shealth,0,0d08748f-732e-46ff-b17d-5742ef4ddc0c.achievement.json,0d08748f-732e-46ff-b17d-5742ef4ddc0c,1663977600000,
28a090b7-9211-4e45-b753-d9e4f8201a06.binning_data.json,648184,6000,0,2022-09-29 04:00:02.885,com.sec.android.app.shealth,2022-09-29 04:00:02.885,,1.230406,797.53,72.090004,1036,+OWbbAvnWG,com.sec.android.app.shealth,0,28a090b7-9211-4e45-b753-d9e4f8201a06.achievement.json,28a090b7-9211-4e45-b753-d9e4f8201a06,1664323200000,
53f26558-856c-497a-827e-4099ebe23292.binning_data.json,4207210,6000,110,2022-10-03 04:00:03.699,com.sec.android.app.shealth,2022-10-02 04:00:03.671,,1.4739966,6201.414,541.97473,7392,oL6fnwM6i7,com.sec.android.app.shealth,0,53f26558-856c-497a-827e-4099ebe23292.achievement.json,53f26558-856c-497a-827e-4099ebe23292,1664582400000,
94efb801-bb1c-476b-a7ec-0026ddad0d1f.binning_data.json,3141132,6000,0,2022-09-27 04:32:19.700,com.sec.android.app.shealth,2022-09-26 04:06:21.497,,1.23331,3873.9897,392.90002,5168,+OWbbAvnWG,com.sec.android.app.shealth,0,94efb801-bb1c-476b-a7ec-0026ddad0d1f.achievement.json,94efb801-bb1c-476b-a7ec-0026ddad0d1f,1664150400000,
