source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
-1,2023-04-21 22:49:52.996,2023-03-19 17:25:45.707,,1679228716935,1,3618393.0,15002,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_others,71cac9d9-7b57-4451-ab78-ab011202cc43,
-1,2023-04-21 22:49:52.969,2023-04-03 16:34:16.536,,1680516418978,3,4407.9434,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,02e9cefa-9ea1-4ff1-bf5b-751a44b6dc42,
-1,2023-04-21 22:49:52.982,2022-09-20 20:13:27.728,,1663690384387,2,0.987,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_running,21249500-74d4-46c7-8f1e-defc2dc8565f,
-1,2023-04-21 22:49:52.992,2022-09-21 02:26:16.343,,1663711903579,2,100.72,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,dc5af585-9435-47bb-94a3-3239658a89a4,
-1,2023-04-21 22:49:52.999,2022-09-24 21:08:52.979,,1664035306798,2,452.148,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,72eafcb1-3b33-4b47-b0a4-6eeb89421c87,
-100003,2022-10-03 04:00:01.604,2022-10-03 04:00:01.604,,1664668800000,0,12377.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,70600441-6c31-48ef-83cd-eb416223c677,
-1,2023-04-21 22:49:52.994,2023-02-20 22:27:02.913,,1676906301621,1,3073680.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,874828a7-bb43-4391-b24f-9447ed5cd3fa,
-1,2023-03-20 01:47:11.251,2023-03-20 01:47:11.251,,1679184000000,6,28.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.floor,205b5f78-4f90-4525-bff6-029b99ce251b,
-1,2023-04-21 22:49:52.998,2022-09-21 01:52:43.835,,1663710196291,4,2.331,15005,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_others,a5d21986-0fdb-41a5-b974-7ffa055af77b,
-1,2023-04-09 01:43:40.487,2023-04-09 01:43:40.487,,1680912000000,6,30.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.floor,f8e38acc-c00e-4bde-8e60-5548b93ef739,
-100003,2022-09-21 04:00:00.513,2022-09-21 04:00:00.513,,1663632000000,0,8205.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,9bc39513-2926-433f-a12a-b4be89b252dc,
-1,2023-04-21 22:49:52.999,2022-09-24 21:08:53.021,,1664035306798,3,3054.801,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,6ec186c2-d2d1-4e87-b141-4906945d4ffd,
-1,2023-04-21 22:49:52.959,2022-10-13 18:27:43.640,,1665667016313,2,480.917,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,42a4b4d8-7574-4231-b1ab-d8692ea582a8,
-1,2023-04-21 22:49:52.994,2023-02-20 22:27:03.030,,1676906301621,2,571.201,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,6ff07796-fc5c-4925-b50d-1fbdd56f2fd1,
-1,2023-04-21 22:49:52.987,2023-03-21 22:35:12.438,,1679419655436,1,4046739.0,15002,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_others,4f8e0871-1ba6-4742-aa16-7b3d14424207,
-1,2023-04-21 22:49:52.967,2023-04-09 19:23:21.057,,1681047777987,1,5349327.0,-1,+OWbbAvnWG,com.sec.android.app.shealth,tracker.sport_walking,0570a896-7a1b-4d3b-9b42-f60363e75ccf,
