step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
2689856,90,0,2023-02-24 16:57:09.616,2023-02-22 05:00:00.432,-1,1020000,48,3138.3362,281.621,0e8a9f07-c613-4ab9-9c4e-73a857ae4159.extra_data.json,+OWbbAvnWG,3600,com.sec.android.app.shealth,2686256,22020000,0e8a9f07-c613-4ab9-9c4e-73a857ae4159,1677024000000,
8869445,90,3370893,2023-03-27 06:44:25.688,2023-03-26 04:00:00.580,-1,3370893,163,5632.3525,1185.6711,a4fbc81a-54c9-497d-a3ea-8c153b772487.extra_data.json,+OWbbAvnWG,18400,com.sec.android.app.shealth,5480152,47100000,a4fbc81a-54c9-497d-a3ea-8c153b772487,1679788800000,
2568981,90,0,2023-01-28 02:02:56.140,2023-01-27 06:10:24.851,-1,180000,46,3180.9,278.62015,1f3e064e-a5b1-4d2d-b8fb-a4c208523a62.extra_data.json,+OWbbAvnWG,6385,com.sec.android.app.shealth,2562596,29520000,1f3e064e-a5b1-4d2d-b8fb-a4c208523a62,1674777600000,
4347773,90,0,2023-03-01 04:55:01.469,2023-02-28 05:00:00.891,-1,2425435,80,3104.1536,511.25055,56acce5a-cd8d-4ab4-937c-35fc836431fc.extra_data.json,+OWbbAvnWG,400,com.sec.android.app.shealth,4347373,14040000,56acce5a-cd8d-4ab4-937c-35fc836431fc,1677542400000,
6065714,90,0,2023-01-27 20:21:58.226,2023-01-26 05:00:01.062,-1,669349,111,7227.214,714.11096,8e054403-d032-4eba-9629-8a35c53fa554.extra_data.json,+OWbbAvnWG,6800,com.sec.android.app.shealth,6058914,24900000,8e054403-d032-4eba-9629-8a35c53fa554,1674691200000,
10546387,90,4211970,2023-04-02 04:41:29.055,2023-04-01 04:00:00.621,-1,4211970,194,8523.302,1381.995,92ebe57e-4868-4083-9503-d68443145d51.extra_data.json,+OWbbAvnWG,11200,com.sec.android.app.shealth,6323217,28680000,92ebe57e-4868-4083-9503-d68443145d51,1680307200000,
6335193,90,0,2023-02-22 04:00:40.665,2023-02-21 05:00:17.120,-1,1050520,116,7080.4453,738.7381,a14259c7-2058-4d5e-8078-e39339ac0a0f.extra_data.json,+OWbbAvnWG,8625,com.sec.android.app.shealth,6326568,24420000,a14259c7-2058-4d5e-8078-e39339ac0a0f,1676937600000,
392196,90,0,2023-02-24 16:57:09.733,2023-02-23 05:00:00.536,-1,32016,6,451.49997,39.899998,b77b4f8d-ed27-454e-93a8-6d2fb66cfe56.extra_data.json,+OWbbAvnWG,0,com.sec.android.app.shealth,392196,40860000,b77b4f8d-ed27-454e-93a8-6d2fb66cfe56,1677110400000,
2688349,90,0,2023-02-03 03:57:27.712,2023-02-02 05:26:31.141,-1,120000,48,3315.042,290.32874,0132df1a-8310-4e27-b788-31756b8d2bfd.extra_data.json,+OWbbAvnWG,2400,com.sec.android.app.shealth,2685949,27360000,0132df1a-8310-4e27-b788-31756b8d2bfd,1675296000000,
1554509,90,0,2023-03-07 09:35:09.942,2023-03-06 05:00:02.081,-1,60000,27,1774.6702,126.43003,34946a52-e21a-46fb-b898-a979b76f3ec4.extra_data.json,+OWbbAvnWG,2400,com.sec.android.app.shealth,1552109,24000000,34946a52-e21a-46fb-b898-a979b76f3ec4,1678060800000,
