number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
2023-02-11 05:00:00.000,,100003.0,,2023-03-11 00:13:02.833,2023-02-11 21:37:51.475,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":12080}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-11 05:00:00.000,93666469-e10f-4e66-b091-a2c5fae93dd0,1,
2022-12-21 05:00:00.000,,10299999.0,,2022-12-27 05:00:04.488,2022-12-22 06:57:07.612,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7264}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-12-21 05:00:00.000,0fb28dbe-1a04-472f-bc2c-3fac48c23cd8,1,
,15005.0,,f23cfc97-a545-4792-a2c1-d5e5ec5c3885,2023-05-09 12:50:44.355,2022-09-21 01:52:44.299,,,1205,UTC-0400,78.384,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2022-09-21 01:52:36.258,da731731-2790-4c5d-ac96-f721fae46b13,0,
2023-02-15 05:00:00.000,,100003.0,,2023-03-12 09:17:11.338,2023-02-15 22:35:02.876,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":8841}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-15 05:00:00.000,b056f46f-e107-4c25-a1a8-0a23ad23a8af,1,
2023-03-18 04:00:00.000,,10009.0,,2023-03-24 05:29:50.595,2023-03-19 04:00:01.443,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":6522}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-18 04:00:00.000,8ba8e27f-1f73-4b92-9e20-a51c1afe2533,1,
,1001.0,,c2281b4d-7081-4d92-bd0c-959415439400,2023-04-09 19:23:21.065,2023-02-20 22:27:03.440,,,1200,UTC-0500,3478.4148,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2023-02-20 21:59:49.141,69b28b2c-2d37-45ce-9037-52f1bc383903,0,
2023-01-06 05:00:00.000,,10299999.0,,2023-01-12 05:00:04.344,2023-01-07 05:00:06.159,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6954}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-06 05:00:00.000,b3edf6ab-51a8-47c7-9da8-0171256c6a42,1,
2022-09-21 04:00:00.000,,100003.0,,2022-10-11 16:15:37.786,2022-09-21 23:25:06.934,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8957}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-21 04:00:00.000,cb697a7f-0286-43cd-839f-e93471cc6619,1,
2023-02-24 05:00:00.000,,100003.0,,2023-03-21 02:59:20.413,2023-02-24 22:44:04.388,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":9363}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-02-24 05:00:00.000,be9e1cd2-a6bf-4521-b2be-6e2218705d87,1,
2023-03-19 04:00:00.000,,10299999.0,,2023-03-25 04:00:12.954,2023-03-20 04:00:04.380,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":9864}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-19 04:00:00.000,dab3dabf-add3-40d3-9d78-93f873849bee,1,
2023-01-20 05:00:00.000,,100003.0,,2023-02-15 20:18:27.089,2023-01-21 03:18:50.929,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6130}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-20 05:00:00.000,6af11a5d-40fb-4b5f-9cd3-8df56c4f679d,1,
2023-03-05 05:00:00.000,,10299999.0,,2023-03-11 05:00:05.432,2023-03-06 05:00:04.977,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":8534}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-05 05:00:00.000,10286ab1-4efa-4c18-83f1-fc65531ed7f7,1,
2022-09-24 04:00:00.000,,10299999.0,,2022-09-25 04:04:43.455,2022-09-25 04:04:43.455,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":11443}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2022-09-24 04:00:00.000,b367a5e0-75ce-4ff6-a6ba-7fe813963dcd,1,
2023-03-12 05:00:00.000,,100003.0,,2023-04-03 16:34:27.976,2023-03-13 00:26:30.813,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6500,""mValue"":7985}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-12 05:00:00.000,442c6e54-7dc1-44f5-ab2a-df714f882cad,1,
2023-03-26 04:00:00.000,,10299999.0,,2023-04-01 04:00:05.046,2023-03-28 04:16:08.999,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":7149}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-26 04:00:00.000,5af20a23-771c-4daf-a728-c225031f9dc6,1,
2023-01-21 05:00:00.000,,10299999.0,,2023-01-23 05:06:59.727,2023-01-22 05:00:19.109,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":12226}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-01-21 05:00:00.000,d770ff34-ffe3-4b44-9b25-b248b5f5e2c4,1,
,15005.0,,ddb0ff63-d6e5-4534-be83-1eab241b8b2e,2023-05-09 12:50:44.316,2022-10-02 17:44:46.089,,,1203,UTC-0400,1180954,+OWbbAvnWG,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2022-10-02 17:44:36.747,a2c86091-1a66-4165-a59b-66679fc6142e,0,
2023-03-18 04:00:00.000,,100003.0,,2023-04-03 16:34:26.297,2023-03-18 21:09:15.511,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":8874}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-18 04:00:00.000,c24542a5-a267-44f4-a7e7-9b086567f40d,1,
2023-04-01 04:00:00.000,,100003.0,,2023-04-25 17:05:24.313,2023-04-01 18:55:21.466,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6500,""mValue"":10405}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-04-01 04:00:00.000,6627a781-8643-40c1-adbb-9ec549bae1ac,1,
2023-03-19 04:00:00.000,,100003.0,,2023-03-20 04:00:04.116,2023-03-20 04:00:04.116,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":10952}",+OWbbAvnWG,com.sec.android.app.shealth,tracker.pedometer,2023-03-19 04:00:00.000,48444b05-25f5-4364-bce9-331e4e4fa337,1,
