start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
,2022-09-21 00:59:21.517,2022-09-21 00:59:21.517,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-21 00:58:33.000,7b11e35c-e7f9-43e1-8117-61e8b7bc07c3,
,2022-09-21 00:40:00.191,2022-09-21 00:40:00.191,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-21 00:35:59.000,884a024d-ee10-4331-a05e-129571973dfe,
,2022-09-21 23:30:13.445,2022-09-21 23:30:13.445,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-21 23:28:40.001,d73c50b4-3874-470c-8bbb-4229d5d44c62,
,2022-09-21 23:52:24.456,2022-09-21 23:52:24.456,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-21 23:50:30.001,58baec41-1acc-4262-8bed-f08aac9128e2,
,2022-09-24 22:41:33.802,2022-09-24 22:41:33.802,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-24 22:40:35.000,1c98c886-9e9c-412f-ad15-3959f2054f23,
,2022-09-24 22:43:03.028,2022-09-24 22:43:03.028,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-24 22:42:08.000,85dcd50f-d6df-4a6f-ba56-f2564fbc90b4,
,2022-09-26 16:15:33.259,2022-09-26 16:15:33.165,2.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-26 16:06:05.000,ef2dc4f3-c397-40a7-948c-51ab8f4403f5,
,2022-09-26 18:55:36.821,2022-09-26 18:55:36.821,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-26 18:55:12.001,0751aa11-872b-4214-a4d9-5760297354fb,
,2022-09-27 18:31:14.899,2022-09-27 18:31:14.628,2.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-27 18:11:20.999,fb420228-09d0-43fd-9f09-3dd3c0dd76b7,
,2022-09-28 00:25:48.374,2022-09-28 00:25:48.083,2.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-28 00:14:54.000,5a0981d9-315d-4bb7-84e0-4f8a917c4f93,
,2022-09-30 13:33:43.791,2022-09-30 13:33:43.683,2.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-30 13:32:11.000,6306c219-ed73-42aa-aaae-f12f7d838698,
,2022-09-30 20:02:22.260,2022-09-30 20:02:22.260,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-09-30 19:46:45.002,1af7de2f-f928-4fb0-a326-90aaeee2d219,
,2022-10-01 16:54:36.521,2022-10-01 16:54:36.521,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-01 16:47:28.000,67ebc644-1fa1-4827-b8b8-d26a2890c631,
,2022-10-01 16:54:36.641,2022-10-01 16:54:36.641,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-01 16:52:35.000,e7471b20-1880-4106-bd8c-0d628840ee24,
,2022-10-02 16:40:47.862,2022-10-02 16:40:47.862,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-02 16:32:07.001,0deed603-e13e-4986-85ce-31b7ccb812c5,
,2022-10-02 18:02:07.964,2022-10-02 18:02:07.964,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-02 18:00:14.000,c046031c-b3a4-43db-9921-6af81f3e6416,
,2022-10-03 18:29:31.728,2022-10-03 18:29:31.664,2.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-03 18:24:51.000,92a6d177-c450-4c7d-b4a1-c3230c17bde6,
,2022-10-04 18:26:54.267,2022-10-04 18:26:54.267,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-04 18:26:48.000,58b95f20-8bf0-4b47-be85-181381328665,
,2022-10-08 18:57:06.375,2022-10-08 18:57:06.375,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-08 18:56:38.000,4a1476f6-c4e3-4e9e-99ca-ef5750b97bd1,
,2022-10-09 16:18:24.645,2022-10-09 16:18:24.645,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-09 16:16:53.000,65ebf9b9-8a96-4c42-b000-a863298e24d2,
,2022-10-13 17:16:17.361,2022-10-13 17:16:17.361,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-13 17:16:05.000,2f59dad8-d419-4c67-a7df-e486f9d54771,
,2022-10-13 17:52:01.683,2022-10-13 17:52:01.683,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-13 17:51:51.001,ecbfc131-6b62-42b5-b19c-9db0be27e77d,
,2022-10-16 19:31:12.817,2022-10-16 19:31:12.817,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-16 19:28:38.000,e54875a0-d883-47e6-889c-c71f0329c996,
,2022-10-16 19:47:50.298,2022-10-16 19:47:50.298,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-16 19:44:55.001,9a475ff6-e088-4e65-a6e7-959906b58bc8,
,2022-10-18 18:36:37.048,2022-10-18 18:36:37.048,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-18 18:35:26.999,65643075-a861-4167-b63b-3e9b9ff92fab,
,2022-10-18 18:36:37.143,2022-10-18 18:36:37.143,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-18 18:35:49.001,c6712ab2-a573-4f75-a987-dd0733dfb11c,
,2022-10-21 16:01:06.263,2022-10-21 16:01:06.263,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-21 16:00:03.001,c0776f6d-c519-4dba-a427-44d2038343f9,
,2022-10-23 22:49:35.047,2022-10-23 22:49:34.714,3.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-23 22:49:29.999,9a7cb05e-7671-4970-b6ff-3e694e5a43c8,
,2022-10-27 19:52:52.262,2022-10-27 19:52:52.262,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-27 19:52:06.000,5e2b32b9-1760-4ecb-b4c5-b8b779177525,
,2022-10-29 21:32:30.766,2022-10-29 21:32:30.766,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-29 21:28:07.999,85599297-94f3-4d63-9114-210de01d41f8,
,2022-10-30 00:00:30.979,2022-10-30 00:00:30.979,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-29 23:59:54.001,a1f6da05-f2b1-4db4-a008-eda268e794f2,
,2022-10-30 19:45:31.967,2022-10-30 19:45:31.967,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-10-30 19:44:19.000,cc0e9f15-abf4-466f-b7a0-46c4dec8bdb1,
,2022-11-02 21:44:30.808,2022-11-02 21:44:30.808,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-02 19:42:22.002,63673ef4-ca28-4a8f-babc-ad42b92a237a,
,2022-11-02 21:44:31.073,2022-11-02 21:44:30.968,2.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-02 20:00:46.999,4a638523-6e27-41a3-b93d-53251a36a2a9,
,2022-11-03 18:35:40.459,2022-11-03 18:35:40.459,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-03 18:34:58.000,eba102f5-5572-4e1e-ac12-2138121e2f6f,
,2022-11-05 19:50:54.506,2022-11-05 19:50:54.506,1.0,UTC-0400,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-05 19:41:07.000,dc8b7139-7145-46b0-bf35-6608b1b772b4,
,2022-11-09 18:07:39.525,2022-11-09 18:07:39.525,1.0,UTC-0500,oL6fnwM6i7,com.sec.android.app.shealth,2022-11-09 18:06:04.002,8f851122-6552-4180-bbc2-c903ae8c5554,
