status,update_time,create_time,body,pcid,deviceuuid,pkg_name,last_sync_time,datauuid
2023-05-20 01:07:20.098,2023-04-30 18:34:38.067,fbd8b88b-9874-4836-b86e-cd3d8e1014d0.body.json,23050001,+OWbbAvnWG,com.sec.android.app.shealth,1684544839747,fbd8b88b-9874-4836-b86e-cd3d8e1014d0,
2022-09-24 20:38:52.432,2022-09-24 20:38:52.040,cfbc7d5c-c832-4df2-a429-484e0efcbd66.body.json,22100001,+OWbbAvnWG,com.sec.android.app.shealth,1664051932405,cfbc7d5c-c832-4df2-a429-484e0efcbd66,
2022-09-24 20:38:56.342,2022-09-22 14:17:41.606,5cea0bf1-9865-4542-8c02-62a14ce80ead.body.json,22090001,+OWbbAvnWG,com.sec.android.app.shealth,1664051936213,5cea0bf1-9865-4542-8c02-62a14ce80ead,
2023-04-30 18:34:10.569,2023-04-02 04:40:24.859,fe461cfa-b56c-4623-9c5f-0395287457ca.body.json,23040001,+OWbbAvnWG,com.sec.android.app.shealth,1682879650293,fe461cfa-b56c-4623-9c5f-0395287457ca,
